GEOID,borough,cvai,cvai_z,travel_time_accessibility_z,venue_density_z,event_density_z,mobility_proxy_z,population,psi_z,median_income,pct_bachelors,pct_renters,pct_age_18_34,pct_age_65plus,pct_white,dist_to_cbd_km,pop_density,median_income_z,pct_bachelors_z,pct_renters_z,pct_age_18_34_z,pct_age_65plus_z,pct_white_z,dist_to_cbd_z,pop_density_z
36061000100,Staten Island,-0.5735775744969004,-0.3647917491739106,-0.6308796437870179,-0.15019166974209025,-1.0304052146010676,0.6089910346640501,2607,-0.23229036700998268,13633.77791903373,50.948912604739725,55.14131957402692,42.64201602561671,9.84144089105139,65.00181593679491,42.72594957844767,519.3247442371231,-1.2588696592040587,0.0788568185250683,-0.3403869197978286,0.20515127882250048,-1.442830989673079,0.9400602179865633,2.3472617158636724,-0.6169888765553141
36061000200,Staten Island,0.9135983628013685,0.5810428434219288,-0.6308796437870179,0.7539700378698634,-1.2074045674057639,2.8465623411260226,4748,0.2321421127086131,31365.275190266108,74.11435099895606,58.351185890157964,37.26909879196093,34.65311960925842,70.42715808360398,41.3259693338228,945.8204394459573,-0.41879600841993403,1.5953230228067714,-0.12624505543151746,-0.16119752733261775,0.29340723865134005,1.2688796556625719,2.189730730171653,0.8740946216861742
36061000300,Staten Island,-0.0311661068576163,-0.019821448991451607,-0.6308796437870179,-0.15019166974209025,-0.3030321499535707,1.0400687944367992,1048,-0.7013116487517711,86059.97180756254,57.1125984579228,58.52049394312757,49.855781214803194,41.88824061823834,35.32944316421616,39.980584855401254,208.76575832748753,2.172500866456379,0.4823467560388354,-0.11494989901552011,0.6970170846807573,0.7996967898345922,-0.8583245963851481,2.0383430632140525,-1.7027428110556988
36061000400,Staten Island,-0.7288370857635554,-0.46353582706176677,-0.6308796437870179,-0.15019166974209025,-1.5503940365349937,0.753906014139183,4861,0.5068619219980768,77606.2783875274,64.83122047252843,55.21519039221838,50.85297266322261,30.787832364934413,40.90772957357919,38.69549120220597,968.3304878161318,1.7719861786471036,0.9876266143166983,-0.3354587286609308,0.7650099237195188,0.02292737498433829,-0.520235504363313,1.8937395442203568,0.952792629770289
36061000500,Staten Island,-0.7848565869615101,-0.49916387937496315,-0.6308796437870179,-0.15019166974209025,-1.0275513869553239,0.19480838918955015,3180,-0.48607288381055463,52820.6421220116,52.53966663749805,40.90023733929864,38.72859341413461,21.229626193755607,61.598500565649516,37.47689105809084,633.4686178263514,0.5977052013513775,0.1829914646712475,-1.2904613465778403,-0.06168285231140239,-0.6459239001383412,0.7337918912539657,1.7566181222546262,-0.21792729575571645
36061000600,Staten Island,-1.0663441184930382,-0.6781881884897321,-0.6308796437870179,-0.15019166974209025,-1.1376321789686838,-0.2590065472880028,4046,-0.5564484693448559,88394.80655163621,54.35069124510956,59.2658355780318,41.24723573046752,48.125698525873,82.33497207467224,36.331475849186425,805.9792540020715,2.2831194519840556,0.301545560899837,-0.06522544585492626,0.11004910736602412,1.2361732165123565,1.9905891063368475,1.6277317414802372,0.38519195201724266
36061000700,Staten Island,-1.1306028458814945,-0.7190563371168557,-0.6308796437870179,-0.15019166974209025,-1.0223810101185145,-0.4834087763447778,3833,0.09202171669448503,31862.89163923749,46.935571391413326,36.39617756745688,45.93190776562556,15.83889651266232,57.51586520411591,35.26637720804287,763.548808845062,-0.3952201952450455,-0.1838663042879199,-1.5909435666355434,0.4294703700942199,-1.0231491196479392,0.4863513008747519,1.5078828797246673,0.23684968899468545
36061000800,Staten Island,-0.918118885397908,-0.5839178675136887,-0.6308796437870179,-0.15019166974209025,-0.49700870386525836,-0.5214412113176145,2397,0.2929529564367398,35147.181596289316,69.42424419183097,63.94007849709193,27.594875053374885,20.078416858821978,46.5766517076692,34.28908041024247,477.4919109844205,-0.23961881470452867,1.2882971704813304,0.2466103113410448,-0.8208280712219073,-0.7264816761282817,-0.17665315731135744,1.397913808045085,-0.7632418119272646
36061000900,Staten Island,-1.4009040278105382,-0.8909661978643911,-0.6308796437870179,-0.15019166974209025,-1.7218519820442295,-0.4082267657640769,4826,-0.10979880634017589,31576.43361478143,42.09006943799818,67.73670990449607,77.18873349947863,25.631679415129998,46.96132116726381,33.40729200908062,961.358348939804,-0.4087918544636742,-0.5010647026126247,0.4998974104976136,2.560696349170832,-0.33788295003284247,-0.15333908937383062,1.2986916964901916,0.9284171405385633
36061001000,Staten Island,-1.1744121583646283,-0.7469187857923403,-0.6308796437870179,-0.15019166974209025,-1.4900204352706636,-0.1663559959022448,5574,-0.9513276984002283,50376.47959012258,60.94895139216663,44.87708891875628,42.69350763300879,40.8122541946907,63.957334147410336,32.62875623403286,1110.3629169059307,0.48190694078344337,0.7334837936150466,-1.0251511038261603,0.20866219999897678,0.7244028614011806,0.8767562077776834,1.21108795457265,1.4493561674802158
