GEOID,progressive_vote_share,progressive_support_z,cultural_index,arts_emp_z,education_z,transit_z,theatre_proximity_z,venue_density_z,venue_density,median_income,pct_bachelors_plus,pct_renters,pct_age_18_44,pct_transit_commute,arts_employment_share,dist_to_theatre_district_km,total_population,median_income_z,pct_bachelors_plus_z,pct_renters_z,pct_age_18_44_z,dist_theatre_z
36061000100,0.11236203565420874,-0.38770427733178614,-0.9805512118294116,-1.2288526664987303,-0.32309785299073057,-0.9850691123911611,-2.192440530842028,-0.173295896424408,0.0,82253.51684000884,36.66783589532241,38.0170283352728,36.93008705466199,38.94566679223631,0.7300271046741202,39.63419275524666,3188,0.8402729359858117,-0.32309785299073057,-1.4877118339423452,-0.9586374873512229,2.192440530842028
36061000200,0.2852142919229748,0.6473848373721529,-1.2064018680036568,-1.2730437662147258,-1.1780125848271816,-1.3853455829793924,-2.0223115095725768,-0.173295896424408,0.0,59173.485824291856,27.01589206031773,35.120310637073246,40.89143379093601,31.85925810517643,0.6533189963377994,38.20547762245694,3935,-0.5495467313291963,-1.1780125848271816,-1.666143008376265,-0.4801872183341403,2.0223115095725768
36061000300,0.21959818254342153,0.25445666834442043,-0.9672512433643421,-1.2945536263659216,-0.20268027550701057,-1.9773561136854774,-1.8589767363592742,0.49731053509597334,0.22060445621001543,55690.67814362913,38.02734421976492,45.42493337039476,35.61653054580633,21.378430787344374,0.6159815982331809,36.833819451150426,4533,-0.759272385890257,-0.20268027550701057,-1.0314018537418854,-1.1172884479642444,1.8589767363592742
36061000400,0.17959754525911098,0.014921326845427144,-0.634507739154716,-0.6364434186359105,0.2830638119144688,-0.9426399270377201,-1.7032232655900108,-0.173295896424408,0.0,83031.01044307044,43.51137025813553,39.016787428082644,31.69857068761133,39.69682397924669,1.758347129668901,35.52582779274825,2205,0.8870915862731862,0.2830638119144688,-1.426128964064508,-1.5904984628781866,1.7032232655900108
36061000500,0.04680559213273095,-0.780275150009754,-0.9798928341099922,-1.033596212974976,-0.7681758230753405,-1.3684774518976859,-1.55591878617755,-0.173295896424408,0.0,80124.72367007476,31.64292825309878,36.22888528091282,33.41093431315669,32.15788787588517,1.0689585475783232,34.288789353956716,2332,0.7120825270038877,-0.7681758230753405,-1.597857349828694,-1.383679698493061,1.55591878617755
36061000600,0.04679835610086079,-0.7803184814535207,-0.805603846007523,-0.8969841867951122,0.06567565033951112,-1.6054049754889292,-1.4180098216686767,-0.173295896424408,0.0,65055.91724937703,41.05706897196023,30.092640460092056,35.00248757536716,27.963373871818867,1.3060934044068844,33.13065288158422,3122,-0.19532195231361008,0.06567565033951112,-1.9758359739361233,-1.1914523735061422,1.4180098216686767
36061000700,0.017425083650459836,-0.9562141002493109,-0.944077672758975,-1.3329857910559721,-0.5315871403501703,-1.3920048154878633,-1.2905147204764618,-0.173295896424408,0.0,82688.80695395454,34.314002446376264,39.61673956178147,43.776820874089516,31.741364482731345,0.5492700053651576,32.0599702956815,5858,0.8664849788092179,-0.5315871403501703,-1.389173286993679,-0.13169103305658053,1.2905147204764618
36061000800,0.2598528437324805,0.4955131781773165,-0.8923662758191329,-1.0482103983084128,-1.0441016475791964,-1.0217137485914705,-1.1745096881921768,-0.173295896424408,0.0,59225.710611393995,28.527739730124466,39.9673554547896,36.28388174256822,38.296918021362,1.0435908486749497,31.085779391227753,5158,-0.546401889964535,-1.0441016475791964,-1.3675761511721518,-1.036685970858208,1.1745096881921768
36061000900,0.18033450352296262,0.01933444527020405,-0.8257912481404993,-0.9647385861704453,-0.9666695403799002,-0.9531460229190639,-1.071106194808679,-0.173295896424408,0.0,63327.615178882545,29.40194428162194,34.253615686824524,37.72760523610219,39.51082631365513,1.1884834820255197,30.21741410776243,5243,-0.299395824961301,-0.9666695403799002,-1.7195294318944925,-0.8623134809313807,1.071106194808679
36061001000,0.21242177333881365,0.21148226227823227,-1.0092206582905905,-1.303406398728148,-1.2053730888579177,-1.3826093183634223,-0.9814185890790569,-0.173295896424408,0.0,67438.72371181072,26.706993361572877,49.93748503691894,37.53292515496864,31.907700346400876,0.6006147160826412,29.464232560173066,3262,-0.05183552100680381,-1.2053730888579177,-0.7534390083972705,-0.8858268826585487,0.9814185890790569
36061001100,0.006175348288740734,-1.023580756997543,-0.6807449491864958,-1.034961341115947,0.0602346576694605,-1.3491803434107357,-0.9065218226508485,-0.173295896424408,0.0,67803.66716010249,40.99564044148539,36.98773998098666,37.02347742662069,32.49951974102105,1.066588921160254,28.835262013028604,4495,-0.02985957212058846,0.0602346576694605,-1.551113638681752,-0.9473578262758402,0.9065218226508485
36061001200,0.29097295564859826,0.6818693750131599,-0.8506904707783397,-0.9456419603533786,-0.8356725548799104,-1.4514410683046195,-0.8474008739293813,-0.173295896424408,0.0,72623.60812702223,30.880893584419432,44.28118399579657,37.91471595217179,30.68911782514494,1.221631922581379,28.338774150622896,4293,0.260384784421247,-0.8356725548799104,-1.1018541951262264,-0.8397143048431795,0.8474008739293813
36061001300,0.2497327922401265,0.4349113939362634,-0.5719330382248262,-1.0387779348030772,-1.0815628271247342,-0.9863884658061007,-0.8048955905780195,1.0519596271878002,0.40306328093510685,71789.20993924653,28.10480491861425,33.63856260990542,42.92678431520276,38.922309242672654,1.0599639744196294,27.981821873495385,2481,0.21013948748239242,-1.0815628271247342,-1.757415292474584,-0.234358193330528,0.8048955905780195
36061001400,0.06370173320348284,-0.6790961889689217,0.8950263344591036,2.57621622920791,1.371286938300789,1.4805711681812985,-0.7796467669700707,-0.173295896424408,0.0,113845.82458913306,55.797353999778814,86.01499542972242,64.57862871231922,82.59683289184856,7.334968800057617,27.76978646586977,4079,2.7426798528439846,1.371286938300789,1.4688529857590766,2.3807450698239094,0.7796467669700707
