GEOID,median_income,pct_bachelors_plus,pct_renters,pct_age_18_44,pct_transit_commute,arts_employment_share,dist_to_theatre_district_km,total_population
36061000100,82253.51684000884,36.66783589532241,38.0170283352728,36.93008705466199,38.94566679223631,0.7300271046741202,39.63419275524666,3188
36061000200,59173.485824291856,27.01589206031773,35.120310637073246,40.89143379093601,31.85925810517643,0.6533189963377994,38.20547762245694,3935
36061000300,55690.67814362913,38.02734421976492,45.42493337039476,35.61653054580633,21.378430787344374,0.6159815982331809,36.833819451150426,4533
36061000400,83031.01044307044,43.51137025813553,39.016787428082644,31.69857068761133,39.69682397924669,1.758347129668901,35.52582779274825,2205
36061000500,80124.72367007476,31.64292825309878,36.22888528091282,33.41093431315669,32.15788787588517,1.0689585475783232,34.288789353956716,2332
36061000600,65055.91724937703,41.05706897196023,30.092640460092056,35.00248757536716,27.963373871818867,1.3060934044068844,33.13065288158422,3122
36061000700,82688.80695395454,34.314002446376264,39.61673956178147,43.776820874089516,31.741364482731345,0.5492700053651576,32.0599702956815,5858
36061000800,59225.710611393995,28.527739730124466,39.9673554547896,36.28388174256822,38.296918021362,1.0435908486749497,31.085779391227753,5158
36061000900,63327.615178882545,29.40194428162194,34.253615686824524,37.72760523610219,39.51082631365513,1.1884834820255197,30.21741410776243,5243
36061001000,67438.72371181072,26.706993361572877,49.93748503691894,37.53292515496864,31.907700346400876,0.6006147160826412,29.464232560173066,3262
36061001100,67803.66716010249,40.99564044148539,36.98773998098666,37.02347742662069,32.49951974102105,1.066588921160254,28.835262013028604,4495
36061001200,72623.60812702223,30.880893584419432,44.28118399579657,37.91471595217179,30.68911782514494,1.221631922581379,28.338774150622896,4293
36061001300,71789.20993924653,28.10480491861425,33.63856260990542,42.92678431520276,38.922309242672654,1.0599639744196294,27.981821873495385,2481
36061001400,113845.82458913306,55.797353999778814,86.01499542972242,64.57862871231922,82.59683289184856,7.334968800057617,27.76978646586977,4079
36061001500,61625.75955020901,46.659164857988486,74.62149593176143,58.437854871974565,70.29565806631547,3.5205429099228693,27.705995296324623,4310
36061001600,94166.61106581002,66.62381447540508,81.13443169566732,59.41626192621013,82.07972451036858,7.943643909777214,27.791469201177645,2311
36061001700,111341.78808637714,64.90659593700974,77.9436705923691,58.36170273141292,73.07476443123731,4.465738651305067,28.02484246806779,1943
36061001800,65215.50089702096,58.99722324732882,84.71809226392004,61.962561909337666,71.84165334494062,7.382220379376469,28.40246961727127,2308
36061001900,85285.47303554988,66.78015133230925,86.34887123476882,51.83634703395752,73.89135150146939,4.898462040836335,28.91870009803329,5566
36061002000,51026.843324615875,45.76636266413124,56.90384289762551,50.4766904640268,57.25515789331891,3.652670049936804,29.56627471224573,4577
36061002100,72908.17382479283,28.502829394161314,67.36935951795826,44.74862396499027,67.89104453788183,3.499638139868288,30.336783536822235,3768
36061002200,64543.35101451039,37.81144139704804,64.83373888457331,48.97691706321809,58.05100087193961,2.0450577687352163,31.221126186605723,2301
36061002300,75047.90710397897,49.61005451758881,60.51380364605372,38.43358571696607,55.44614653038738,1.5459766913686668,32.20992790057195,3175
36061002400,53532.53248670424,39.41291188785634,55.48110441374412,46.08356005031587,63.02840776703729,3.5743545092680042,33.2938829270489,2622
36061002500,53197.361903860234,28.500463466511224,55.27367605269233,40.32996786741764,64.64369156918124,2.126826651403994,34.464014208445974,1454
36061002600,67198.83134538202,45.952674079457395,58.087630030980485,50.41822754128541,58.44072119101375,2.384678441403124,35.71185181924832,2386
36061002700,55531.1276203689,27.258424014440198,65.41971851070957,36.364994107081834,66.74157981406059,2.5929834908931086,37.02954084727442,2136
36061002800,71645.98583365716,40.260116675198944,68.98613594115531,42.93298746104109,69.08173873079267,1.8375031935530173,38.409893001153726,2785
36061002900,50935.49405183854,31.556601107495627,61.9015586140051,36.02851626968501,59.927324944024726,2.9921071222922233,39.8463965166234,1481
36061003000,68699.97652714973,36.85593271750924,56.88767464088467,42.030803222684376,58.255871012135046,3.2623138742223827,41.33319731595849,2639
